curriculum_code,class_level_name,subject_name,topic_name,subtopic_name,question_type,question_text,difficulty,explanation,is_premium,is_active,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,correct_choice,short_answer_1,short_answer_2,short_answer_3,is_exact_match
GH,SHS 2,Mathematics,Algebra,,multiple_choice,Solve for x: 2x + 5 = 15,medium,To solve for x: subtract 5 from both sides to get 2x = 10, then divide both sides by 2 to get x = 5.,false,true,x = 3,x = 5,x = 7,x = 10,,,2,,,,
GH,SHS 2,Mathematics,Algebra,,multiple_choice,What is the value of x in the equation 3x² - 12 = 0?,medium,"To solve 3x² - 12 = 0, divide by 3 to get x² - 4 = 0, then x² = 4, so x = ±2.",false,true,x = 1,x = 2,x = -2,x = 4,Both B and C,,5,,,,
GH,SHS 2,Mathematics,Trigonometry,,multiple_choice,What is the value of sin(30°)?,easy,The value of sin(30°) is 0.5 or 1/2.,false,true,0,0.5,1,√3/2,,,2,,,,
GH,SHS 2,ICT,Database Management Systems,,multiple_choice,Which SQL statement is used to extract data from a database?,easy,The SELECT statement is used to select data from a database. The data returned is stored in a result table called the result-set.,false,true,SELECT,INSERT,UPDATE,DELETE,,,1,,,,
GH,SHS 2,ICT,Database Management Systems,,multiple_choice,What is a primary key constraint?,medium,A primary key constraint ensures that a column or set of columns uniquely identifies each record in a table and cannot contain NULL values.,false,true,It ensures that a column cannot have NULL values,It ensures that a column or set of columns uniquely identifies each record,It ensures that values in a column match values in another table,It ensures that a column can only contain specific values,,,2,,,,
GH,SHS 2,ICT,Programming Concepts,,multiple_choice,What is the purpose of a function in programming?,medium,Functions are blocks of code that perform a specific task and can be reused throughout a program. They help in organizing code and reducing repetition.,false,true,To format the code to look better,To organize code into reusable blocks,To make the program run faster,To connect to external devices,,,2,,,,
GH,SHS 2,English,Grammar and Structure,,multiple_choice,Which of the following sentences contains a split infinitive?,medium,"A split infinitive occurs when a word (usually an adverb) is placed between ""to"" and the verb. In ""to quickly run,"" the adverb ""quickly"" splits the infinitive ""to run.""",false,true,She quickly ran to the store.,He decided to quickly run to the store.,They were running quickly to the store.,We ran to the store quickly.,,,2,,,,
GH,SHS 2,English,Literature,,multiple_choice,Which literary device involves comparing two unlike things without using "like" or "as"?,medium,"A metaphor directly compares two unlike things without using ""like"" or ""as"". For example, ""Time is money.""",false,true,Simile,Metaphor,Alliteration,Onomatopoeia,,,2,,,,
GH,SHS 2,Science,Biology - Cells and Genetics,,multiple_choice,Which organelle is known as the "powerhouse of the cell"?,easy,"Mitochondria are known as the ""powerhouse of the cell"" because they generate most of the cell's supply of ATP, which is used as a source of chemical energy.",false,true,Nucleus,Mitochondria,Ribosome,Golgi apparatus,,,2,,,,
GH,SHS 2,Science,Chemistry - Chemical Reactions,,multiple_choice,What is the chemical formula for water?,easy,The chemical formula for water is H2O which means it consists of two hydrogen atoms and one oxygen atom.,false,true,H2O,CO2,O2,NaCl,,,1,,,,
GH,Primary 6,Mathematics,Numbers and Operations,,multiple_choice,What is the value of 24 ÷ 6 × 2?,medium,"Following the order of operations (division and multiplication from left to right), first calculate 24 ÷ 6 = 4, then 4 × 2 = 8.",false,true,4,8,12,16,,,2,,,,
GH,Primary 6,Mathematics,Fractions and Decimals,,multiple_choice,What is 2/3 of 18?,medium,"To find 2/3 of 18, multiply 18 by 2/3: 18 × 2/3 = 36/3 = 12.",false,true,6,9,12,15,,,3,,,,
GH,Primary 6,English,Grammar,,multiple_choice,Which of the following is an example of a compound sentence?,medium,"A compound sentence contains two or more independent clauses joined by a conjunction. ""The boy ran and the girl walked"" has two independent clauses joined by ""and.""",false,true,The boy ran.,The boy ran and the girl walked.,The boy who was tall ran.,Running quickly the boy arrived first.,,,2,,,,
GH,Primary 6,English,Reading and Comprehension,,short_answer,What is the capital of Ghana?,easy,Accra is the capital city of Ghana and its largest city.,false,true,,,,,,,,Accra,accra,ACCRA,false
GH,Primary 6,Science,Living Things,,multiple_choice,Which of these is NOT a characteristic of living things?,medium,"Magnetism is a physical property of certain materials, not a characteristic of living things. Living things exhibit growth, respiration, reproduction, etc.",false,true,Growth,Respiration,Magnetism,Reproduction,,,3,,,,
GH,Primary 6,Science,Human Body,,multiple_choice,Which organ is responsible for pumping blood throughout the body?,easy,"The heart is a muscular organ that pumps blood throughout the body via the circulatory system, supplying oxygen and nutrients to tissues and removing carbon dioxide and other wastes.",false,true,Lungs,Brain,Heart,Liver,,,3,,,,
GH,Primary 6,ICT,Introduction to Computers,,multiple_choice,Which of these is an input device?,easy,A keyboard is an input device used to enter data into a computer.,false,true,Monitor,Printer,Keyboard,Speaker,,,3,,,,
GH,Primary 6,ICT,Introduction to Computers,,multiple_choice,What is the brain of the computer called?,easy,The CPU (Central Processing Unit) is considered the brain of the computer as it processes all instructions.,false,true,RAM,CPU,Hard Drive,Monitor,,,2,,,,
GH,Primary 6,Social Studies,Our Nation Ghana,,multiple_choice,Who was the first president of Ghana?,medium,Dr. Kwame Nkrumah was the first president of Ghana after independence in 1957.,false,true,Jerry John Rawlings,Kwame Nkrumah,John Agyekum Kufuor,John Dramani Mahama,,,2,,,,
GH,Primary 6,Social Studies,Map Reading,,multiple_choice,What does a compass rose on a map show?,medium,A compass rose is a figure on a map that shows the cardinal directions (North South East and West) and helps readers orient themselves.,false,true,The scale of the map,The elevation of the land,The cardinal directions (North South East West),The population density,,,3,,,,
